,Unnamed: 0,Words,Count,T_Freq,article,right,public,applicant,information,criminal,act,person,may,decision,also,statement,state,freedom,prosecutor,police,shall,section,one,relevant,mr,member,authority,could,paragraph,time,offence,constitutional,expression,code,court,report,medium,event,would,organisation,office,see,follows,opinion,held,made,published,district,question,following,company,part,provision,people,first,investigation,two,administrative,newspaper,found,journalist,concerning,interest,march,official,civil,political,provided,damage,protection,view,material,year,without,respect,religious,detention,taken,general,president,considered,national,july,request,december,day,human,according,individual,judge,read,council,government,ground,within,measure,supreme,procedure
0,0,article,5268,0.0106257664751823,article,right,public,applicant,information,criminal,act,person,may,decision,also,statement,state,freedom,prosecutor,police,shall,section,one,relevant,mr,member,authority,could,paragraph,time,offence,constitutional,expression,code,court,report,medium,event,would,organisation,office,see,follows,opinion,held,made,published,district,question,following,company,part,provision,people,first,investigation,two,administrative,newspaper,found,journalist,concerning,interest,march,official,civil,political,provided,damage,protection,view,material,year,without,respect,religious,detention,taken,general,president,considered,national,july,request,december,day,human,according,individual,judge,read,council,government,ground,within,measure,supreme,procedure
1,1,right,3569,0.0071988155941392,article,right,public,applicant,information,criminal,act,person,may,decision,also,statement,statement,freedom,prosecutor,police,shall,section,one,relevant,mr,member,authority,could,paragraph,time,offence,constitutional,expression,code,court,report,medium,event,would,organisation,office,see,follows,opinion,held,made,published,district,question,following,company,part,provision,people,first,investigation,two,administrative,newspaper,found,journalist,concerning,interest,march,official,civil,political,provided,damage,protection,view,material,year,without,respect,religious,detention,taken,general,president,considered,national,july,request,december,day,human,according,individual,judge,read,council,government,ground,within,measure,supreme,procedure
2,2,public,3477,0.0070132479184147,sarticle,copyright,publication,applicantk,misinformation,criminally,action,personal,mayor,decisionmaking,nationalsocialist,reinstatement,state,profreedom,prosecutorial,policeman,paragraphshall,subsection,mentioned,irrelevant,cmrec,membership,authoritye,couldnt,subparagraph,meantime,administrativeoffence,unconstitutional,freedomofexpression,codefendant,courtroom,reported,mediumlevel,prevent,wouldnt,organisational,officer,seen,followsa,opinionforming,upheld,homemade,unpublished,districtand,questioned,followingi,accompanying,particular,provisional,peoplewe,firstinstance,preinvestigation,network,administrativeoffence,gknewspaper,foundation,journalistic,,interested,marcher,officially,civilian,politically,,damaged,lawprotection,interview,materialsa,thirtyyear,,respectively,interreligious,detentiona,undertaken,generally,presidential,illconsidered,international,,requested,,today,humanity,accordingly,individually,judgement,already,councillor,nongovernmental,background,,measured,,criminalprocedure
3,3,applicant,3047,0.0061459207383979,articleb,rightwing,republic,applicantsproceedings,informational,criminallaw,activity,personality,maybe,decisionon,nationalsocialism,statementsa,stated,antifreedom,prosecutorjudge,policeimposed,groupshall,intersectionality,abovementioned,practicerelevant,i̇mralı,remember,,,subparagraphs,timelimit,offenceb,constitutionality,expressiond,coded,courthouse,reporting,mediumto,prevention,,reorganisation,officea,seeking,followsi,nonopinionated,withheld,madeup,republished,,questioning,followinga,accompany,party,provisionally,,firstly,investigatione,twothirds,administrativedetention,newspapersii,founder,photojournalist,,interesting,marching,unofficial,civilised,partypolitical,,damagepublication,practiceprotection,review,materiala,threeyear,,irrespective,irreligiousness,administrativedetention,mistaken,generalised,vicepresident,reconsidered,nationality,,requesting,,dayfines,inhuman,accordinglya,individualised,judgerapporteur,reader,,antigovernment,groundless,,measuresa,,proceduresa
4,4,information,2676,0.0053975989156393,csmarticle,rightly,publicly,applicantsi,informationdissemination,criminalising,fact,personally,mayoral,decisionmakers,,statemente,stateowned,freedomofexpression,judgeprosecutor,policeiv,shallb,sessionsection,anyone,frameworkrelevant,smrda,threemember,,,paragraphshall,sometimes,offencesv,constitutionally,expressionas,practicecode,courtappointed,reporter,,preventive,,organisationii,officed,seek,followsbackground,opinionated,handheld,manmade,bulgarophobiapublished,,questionable,,companyc,department,provisionale,,firstsecond,investigationb,twentytwo,administrativepenal,newspaperb,illfounded,journalistiii,,publicinterest,,thiefofficials,civillaw,sociopolitical,,damagesif,dataprotection,interviewed,immaterial,yearold,,respected,ethnoreligious,detentiond,mistakenly,advocategeneral,copresident,,nationalist,,requester,,yesterday,humanrights,appellantsaccordingly,individualise,singlejudge,spread,,governmental,underground,,measurement,,procedurea
5,5,criminal,2512,0.0050668043632608,subarticles,farright,publicity,applicantscomplaint,disinformation,criminalize,practice,spokesperson,partymay,decisionk,,statementg,reinstatement,freedomd,prosecutord,,operationsshall,sessionssection,everyone,lawrelevant,comrade,remembered,,,,timelimits,offencesa,unconstitutionality,assessmentexpression,decoder,courtyard,reportedly,,preventing,,organisationvi,officei,seems,followssubheading,opinionformers,stateheld,,publishedwhile,,questionnaire,,,participant,nonprovision,,reservedforfirst,,networking,administrativelaw,,unfounded,journalistd,,interestb,,unofficially,civilisation,historicalpolitical,,damagejoint,consumerprotection,reviewed,materialthe,fouryear,,respective,religiously,detentionsii,staken,secretarygeneral,vicepresidents,,internationally,,requestedc,,holiday,humanism,accordinglyc,individualisation,threejudge,reading,,selfgovernment,grounded,,measuresshall,,procedurethe
6,6,act,2240,0.0045181694959013,,humanrights,publicise,applicantthe,informationd,decriminalisation,factual,personnel,ismayilova,parliamentdecision,,statementh,reinstated,practicefreedom,prosecutorg,,shalliii,sessionssections,telephone,оrelevant,terrorismrelated,nonmember,,,,timely,offenceabuse,constitutionallaw,,frameworkcode,courtthe,unreported,,prevented,,organisationen,officev,seem,followsas,opinione,heldv,,,,unquestioningly,,,participation,,,firstgrade,,twoyear,administrativearrest,,founded,narratorjournalist,,disinterested,,officialnonjudicial,civilparty,quasipolitical,,,,viewed,materially,twoyear,,disrespect,nonreligious,,,generalising,presidentelect,,nationale,,requestsin,,sunday,humanist,mlpaccording,,prosecutorjudge,spreading,,progovernment,fairground,,measurese,,
7,7,person,2234,0.0045060672561802,,frightened,publicised,applicantsat,informationgathering,criminalized,acted,chairperson,ismayilov,decisionsc,,statementj,estate,profreedomdemocratic,prosecutorc,,publicshall,sectionc,questioned,действительностиrelevant,i̇mralıya,membershipvi,,,,timebarred,,practiceconstitutional,,codename,courtcommissioned,reportage,,eventually,,organisationsd,officee,addressee,followsnotable,opiniona,heldiggris,,,,unquestionable,,,particularly,,,standfirst,,twospeed,,,wellfounded,everythingnarratorjournalist,,selfinterest,,nonofficial,civility,nonpolitical,,,,viewpoint,materialtechnical,sixyear,,disrespectful,,,,generalisation,viiipresident,,nonnational,,liferequest,,everyday,humanitarian,,,judged,widespread,,intergovernmental,grounding,,,,
8,8,may,2233,0.0045040502162266,,rightsc,publicising,,informationi,criminalise,acting,impersonal,ismayilovas,decisioninformation,,statementb,statehood,freedomsγ,serviceprosecutors,,shalli,dissection,money,aboverelevant,wwwregnumru,sixmember,,,,multimedia,,lawconstitutional,,codependency,courtv,informationreporting,,seventh,,organisationv,officeror,foreseeable,followsunder,opinionsβ,,,,,unquestionably,,,participated,,,sixtyfirst,,thirtytwo,,,founding,rightnarratorjournalist,,interestsecondinstance,,officialis,civilization,innerpolitical,,,,worldview,materialise,oneyear,,respecting,,,,directorgeneral,,,multinational,,organisationsrequest,,dayfine,humankind,,,adjudge,ready,,mafiagovernment,playground,,,,
